"","NM_MUNICIPIO","NM_VOTAVEL","votos_bolsonaro","votos","percentual"
"142","IBEMA","JAIR MESSIAS BOLSONARO",1711,3954,0.432726353060192
"143","IBIPORÃ","JAIR MESSIAS BOLSONARO",18186,31295,0.581115194120467
"144","ICARAÍMA","JAIR MESSIAS BOLSONARO",3195,5555,0.575157515751575
"145","IGUARAÇU","JAIR MESSIAS BOLSONARO",1745,3132,0.557151979565773
"146","IGUATU","JAIR MESSIAS BOLSONARO",724,1658,0.436670687575392
"147","IMBAÚ","JAIR MESSIAS BOLSONARO",2889,6938,0.416402421447103
"148","IMBITUVA","JAIR MESSIAS BOLSONARO",10535,19418,0.54253785147801
"149","INÁCIO MARTINS","JAIR MESSIAS BOLSONARO",2610,6768,0.38563829787234
"150","INAJÁ","JAIR MESSIAS BOLSONARO",646,1929,0.334888543286677
"151","INDIANÓPOLIS","JAIR MESSIAS BOLSONARO",1645,3066,0.536529680365297
"152","IPIRANGA","JAIR MESSIAS BOLSONARO",5220,9526,0.547973965987823
"153","IPORÃ","JAIR MESSIAS BOLSONARO",5401,9414,0.573719991502018
"154","IRACEMA DO OESTE","JAIR MESSIAS BOLSONARO",826,1891,0.436805922792173
"155","IRATI","JAIR MESSIAS BOLSONARO",19046,37803,0.503822447953866
"156","IRETAMA","JAIR MESSIAS BOLSONARO",2336,6131,0.381014516392106
"157","ITAGUAJÉ","JAIR MESSIAS BOLSONARO",1154,2769,0.41675695196822
"158","ITAIPULÂNDIA","JAIR MESSIAS BOLSONARO",4355,7672,0.567648592283629
"159","ITAMBARACÁ","JAIR MESSIAS BOLSONARO",2090,3856,0.54201244813278
"160","ITAMBÉ","JAIR MESSIAS BOLSONARO",2179,4209,0.517700166310287
"161","ITAPEJARA D OESTE","JAIR MESSIAS BOLSONARO",3201,7447,0.429837518463811
"162","ITAPERUÇU","JAIR MESSIAS BOLSONARO",5803,17318,0.335084882780922
"163","ITAÚNA DO SUL","JAIR MESSIAS BOLSONARO",682,2217,0.307622913847542
"164","IVAÍ","JAIR MESSIAS BOLSONARO",4585,8813,0.520254169976172
"165","IVAIPORÃ","JAIR MESSIAS BOLSONARO",9658,19754,0.488913637744254
"166","IVATÉ","JAIR MESSIAS BOLSONARO",2178,4511,0.482819773886056
"167","IVATUBA","JAIR MESSIAS BOLSONARO",1152,2082,0.553314121037464
"168","JABOTI","JAIR MESSIAS BOLSONARO",1778,3461,0.513724357122219
"169","JACAREZINHO","JAIR MESSIAS BOLSONARO",10508,23598,0.445291973896093
"170","JAGUAPITÃ","JAIR MESSIAS BOLSONARO",4666,8282,0.563390485390002
"171","JAGUARIAÍVA","JAIR MESSIAS BOLSONARO",11916,20750,0.574265060240964
"172","JANDAIA DO SUL","JAIR MESSIAS BOLSONARO",8153,13519,0.603077150676825
"173","JANIÓPOLIS","JAIR MESSIAS BOLSONARO",1724,3844,0.448491155046826
"174","JAPIRA","JAIR MESSIAS BOLSONARO",1314,2957,0.44436929320257
"175","JAPURÁ","JAIR MESSIAS BOLSONARO",3681,5896,0.62432157394844
"176","JARDIM ALEGRE","JAIR MESSIAS BOLSONARO",3455,7369,0.468856018455693
"177","JARDIM OLINDA","JAIR MESSIAS BOLSONARO",280,1052,0.26615969581749
"178","JATAIZINHO","JAIR MESSIAS BOLSONARO",4050,7526,0.538134467180441
"179","JESUÍTAS","JAIR MESSIAS BOLSONARO",3235,5995,0.539616346955797
"180","JOAQUIM TÁVORA","JAIR MESSIAS BOLSONARO",3916,7292,0.537026878771256
"181","JUNDIAÍ DO SUL","JAIR MESSIAS BOLSONARO",732,2059,0.355512384652744
"182","JURANDA","JAIR MESSIAS BOLSONARO",2781,4961,0.560572465228785
"183","JUSSARA","JAIR MESSIAS BOLSONARO",2334,4456,0.523788150807899
"184","KALORÉ","JAIR MESSIAS BOLSONARO",1596,3208,0.497506234413965
"185","LAPA","JAIR MESSIAS BOLSONARO",14813,30242,0.489815488393625
"186","LARANJAL","JAIR MESSIAS BOLSONARO",1068,3632,0.294052863436123
"187","LARANJEIRAS DO SUL","JAIR MESSIAS BOLSONARO",7698,19576,0.393236616264814
"188","LEÓPOLIS","JAIR MESSIAS BOLSONARO",1152,2767,0.416335381279364
"189","LIDIANÓPOLIS","JAIR MESSIAS BOLSONARO",1487,2678,0.555265123226288
"190","LINDOESTE","JAIR MESSIAS BOLSONARO",1529,3996,0.382632632632633
"191","LOANDA","JAIR MESSIAS BOLSONARO",7214,12382,0.582619932159587
"192","LOBATO","JAIR MESSIAS BOLSONARO",1429,3155,0.452931854199683
"193","LONDRINA","JAIR MESSIAS BOLSONARO",196164,318372,0.616147148618597
"194","LUIZIANA","JAIR MESSIAS BOLSONARO",1958,4557,0.429668641650208
"195","LUNARDELLI","JAIR MESSIAS BOLSONARO",1595,3334,0.478404319136173
"196","LUPIONÓPOLIS","JAIR MESSIAS BOLSONARO",1260,3213,0.392156862745098
"197","MALLET","JAIR MESSIAS BOLSONARO",4766,8821,0.540301553111892
"198","MAMBORÊ","JAIR MESSIAS BOLSONARO",5324,8804,0.604725124943208
"199","MANDAGUAÇU","JAIR MESSIAS BOLSONARO",7912,14967,0.528629651900849
"200","MANDAGUARI","JAIR MESSIAS BOLSONARO",12588,22344,0.563372717508056
"201","MANDIRITUBA","JAIR MESSIAS BOLSONARO",7614,15471,0.492146596858639
"202","MANFRINÓPOLIS","JAIR MESSIAS BOLSONARO",712,2468,0.288492706645057
"203","MANGUEIRINHA","JAIR MESSIAS BOLSONARO",4459,10898,0.409157643604331
"204","MANOEL RIBAS","JAIR MESSIAS BOLSONARO",5099,8742,0.583276138183482
"205","MARECHAL CÂNDIDO RONDON","JAIR MESSIAS BOLSONARO",22717,33097,0.686376408737952
"206","MARIA HELENA","JAIR MESSIAS BOLSONARO",1878,3885,0.483397683397683
"207","MARIALVA","JAIR MESSIAS BOLSONARO",13810,23445,0.589038174450842
"208","MARILÂNDIA DO SUL","JAIR MESSIAS BOLSONARO",3297,5786,0.569823712409264
"209","MARILENA","JAIR MESSIAS BOLSONARO",1699,4585,0.370556161395856
"210","MARILUZ","JAIR MESSIAS BOLSONARO",2761,6237,0.442680776014109
"211","MARINGÁ","JAIR MESSIAS BOLSONARO",136721,236912,0.577096136962248
"212","MARIÓPOLIS","JAIR MESSIAS BOLSONARO",2301,4387,0.524504217004787
"213","MARIPÁ","JAIR MESSIAS BOLSONARO",3214,4261,0.754283032152077
"214","MARMELEIRO","JAIR MESSIAS BOLSONARO",4066,9504,0.427819865319865
"215","MARQUINHO","JAIR MESSIAS BOLSONARO",1171,3129,0.374240971556408
"216","MARUMBI","JAIR MESSIAS BOLSONARO",1412,3207,0.44028687246648
"217","MATELÂNDIA","JAIR MESSIAS BOLSONARO",7545,10696,0.705403889304413
"218","MATINHOS","JAIR MESSIAS BOLSONARO",11805,23293,0.506804619413558
"219","MATO RICO","JAIR MESSIAS BOLSONARO",802,2609,0.307397470295132
"220","MAUÁ DA SERRA","JAIR MESSIAS BOLSONARO",3074,5940,0.517508417508417
"221","MEDIANEIRA","JAIR MESSIAS BOLSONARO",18589,30204,0.615448284995365
"222","MERCEDES","JAIR MESSIAS BOLSONARO",3174,4104,0.773391812865497
"223","MIRADOR","JAIR MESSIAS BOLSONARO",548,1684,0.32541567695962
"224","MIRASELVA","JAIR MESSIAS BOLSONARO",759,1539,0.49317738791423
"225","MISSAL","JAIR MESSIAS BOLSONARO",4788,7727,0.619645399249385
"226","MOREIRA SALES","JAIR MESSIAS BOLSONARO",3943,7596,0.519088994207478
"227","MORRETES","JAIR MESSIAS BOLSONARO",5666,10937,0.518057968364268
"228","MUNHOZ DE MELO","JAIR MESSIAS BOLSONARO",1430,2785,0.513464991023339
"229","NOSSA SENHORA DAS GRAÇAS","JAIR MESSIAS BOLSONARO",917,2538,0.361308116627266
"230","NOVA ALIANÇA DO IVAÍ","JAIR MESSIAS BOLSONARO",529,1213,0.436108821104699
"231","NOVA AMÉRICA DA COLINA","JAIR MESSIAS BOLSONARO",1223,2649,0.461683654209136
"232","NOVA AURORA","JAIR MESSIAS BOLSONARO",4841,8249,0.586859013213723
"233","NOVA CANTU","JAIR MESSIAS BOLSONARO",1728,4753,0.363559856932464
"234","NOVA ESPERANÇA","JAIR MESSIAS BOLSONARO",8915,15875,0.561574803149606
"235","NOVA ESPERANÇA DO SUDOESTE","JAIR MESSIAS BOLSONARO",1439,4005,0.359300873907616
"236","NOVA FÁTIMA","JAIR MESSIAS BOLSONARO",2248,4781,0.470194519974901
"237","NOVA LARANJEIRAS","JAIR MESSIAS BOLSONARO",2396,6449,0.371530469840285
"238","NOVA LONDRINA","JAIR MESSIAS BOLSONARO",3740,7587,0.492948464478714
"239","NOVA OLÍMPIA","JAIR MESSIAS BOLSONARO",2269,3926,0.577941925624045
"240","NOVA PRATA DO IGUAÇU","JAIR MESSIAS BOLSONARO",2925,7134,0.410008410428932
