"","NM_MUNICIPIO","NM_VOTAVEL","votos_bolsonaro","votos","percentual"
"360","SÃO TOMÉ","JAIR MESSIAS BOLSONARO",2104,3769,0.558238259485275
"361","SAPOPEMA","JAIR MESSIAS BOLSONARO",1726,4163,0.414604852269998
"362","SARANDI","JAIR MESSIAS BOLSONARO",25022,53281,0.46962331788067
"363","SAUDADE DO IGUAÇU","JAIR MESSIAS BOLSONARO",1638,4281,0.382620882971268
"364","SENGÉS","JAIR MESSIAS BOLSONARO",5652,10746,0.525963149078727
"365","SERRANÓPOLIS DO IGUAÇU","JAIR MESSIAS BOLSONARO",2403,3651,0.658175842235004
"366","SERTANEJA","JAIR MESSIAS BOLSONARO",2049,3956,0.517947421638018
"367","SERTANÓPOLIS","JAIR MESSIAS BOLSONARO",6893,10632,0.648325808878856
"368","SIQUEIRA CAMPOS","JAIR MESSIAS BOLSONARO",5323,12518,0.425227672152101
"369","SULINA","JAIR MESSIAS BOLSONARO",983,2384,0.412332214765101
"370","TAMARANA","JAIR MESSIAS BOLSONARO",3464,6510,0.5321044546851
"371","TAMBOARA","JAIR MESSIAS BOLSONARO",1723,3284,0.524665042630938
"372","TAPEJARA","JAIR MESSIAS BOLSONARO",5133,9421,0.544846619254856
"373","TAPIRA","JAIR MESSIAS BOLSONARO",1873,3760,0.49813829787234
"374","TEIXEIRA SOARES","JAIR MESSIAS BOLSONARO",3250,6478,0.501698054955233
"375","TELÊMACO BORBA","JAIR MESSIAS BOLSONARO",21166,42009,0.503844414292176
"376","TERRA BOA","JAIR MESSIAS BOLSONARO",6302,10663,0.591015661633687
"377","TERRA RICA","JAIR MESSIAS BOLSONARO",5235,9212,0.568280503690838
"378","TERRA ROXA","JAIR MESSIAS BOLSONARO",6915,10877,0.635745150317183
"379","TIBAGI","JAIR MESSIAS BOLSONARO",4831,11507,0.419831406969671
"380","TIJUCAS DO SUL","JAIR MESSIAS BOLSONARO",4633,9886,0.468642524782521
"381","TOLEDO","JAIR MESSIAS BOLSONARO",52366,85839,0.610049045305747
"382","TOMAZINA","JAIR MESSIAS BOLSONARO",2464,5184,0.475308641975309
"383","TRÊS BARRAS DO PARANÁ","JAIR MESSIAS BOLSONARO",3858,7488,0.515224358974359
"384","TUNAS DO PARANÁ","JAIR MESSIAS BOLSONARO",1848,4157,0.444551359153236
"385","TUNEIRAS DO OESTE","JAIR MESSIAS BOLSONARO",2950,5232,0.563837920489297
"386","TUPÃSSI","JAIR MESSIAS BOLSONARO",3475,5157,0.673841380647663
"387","TURVO","JAIR MESSIAS BOLSONARO",3196,9473,0.337379921883247
"388","UBIRATÃ","JAIR MESSIAS BOLSONARO",8948,15234,0.587370355783117
"389","UMUARAMA","JAIR MESSIAS BOLSONARO",40972,64190,0.638292568935971
"390","UNIÃO DA VITÓRIA","JAIR MESSIAS BOLSONARO",16584,31872,0.520331325301205
"391","UNIFLOR","JAIR MESSIAS BOLSONARO",767,1786,0.429451287793953
"392","URAÍ","JAIR MESSIAS BOLSONARO",3609,7031,0.513298250604466
"393","VENTANIA","JAIR MESSIAS BOLSONARO",2399,6134,0.39109879360939
"394","VERA CRUZ DO OESTE","JAIR MESSIAS BOLSONARO",2973,5391,0.551474680022259
"395","VERÊ","JAIR MESSIAS BOLSONARO",2399,5946,0.403464513958964
"396","VIRMOND","JAIR MESSIAS BOLSONARO",1342,2913,0.460693443185719
"397","VITORINO","JAIR MESSIAS BOLSONARO",2406,4494,0.535380507343124
"398","WENCESLAU BRAZ","JAIR MESSIAS BOLSONARO",6300,11341,0.555506569085619
"399","XAMBRÊ","JAIR MESSIAS BOLSONARO",2226,4231,0.526116757267785
